date,surveyor,site_name,start_time,end_time,min_survey,dive_time,depth_m,lf_count,relief_m,hab_class,hab_type,hab_description,comments
3.29.2023,LR,Grocery Ledge West,13:23,13:28,5,21:20,39.6,1,0.6,LRHB,low-relief hard bottom,low-relief hard bottom,"survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done"
3.29.2023,LR,Grocery Ledge Patch,13:28,13:33,5,,42.7,17,1.2,MRR,medium-relief reef,low-relief hard bottom,"survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done"
3.29.2023,LR,Higher,14:41,14:46,5,19:29,42.7,12,0.7,LRHB,low-relief hard bottom,patchy hard bottom,"survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done"
3.29.2023,LR,Billy Wishes,16:09,16:16,7,21:00,38.4,3,0.9,LRHB,low-relief hard bottom,patchy hard bottom,"survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done"
4.1.2023,LR,Max Claws West,10:24,10:35,11,20:00,42.1,5,0.7,LRHB,low-relief hard bottom,low-relief hard bottom,GT did not open
4.1.2023,LR,Buccees,11:40,11:49,9,21:00,39.6,4,0.3,LRHB,low-relief hard bottom,patchy hard bottom,GT did not open
4.4.2023,N/A,Grocery Ledge West,,,,,42.7,,,LRHB,low-relief hard bottom,low-relief hard bottom,"No survey, did not have enough FY crew to do a survey dive"
4.7.2023,TY,Higher ,7:53,8:01,8,20:17,42.9,21,0.9,LRHB,low-relief hard bottom,patchy hard bottom,"GT did not open, traps landed 20' offfshore of reef in sand surrounded by 0.5' of relief, all lionfish found on bait with good amount of relief, very mild W current, 120' visibility, very few other fish on the reef, 79 degree water temp"
4.7.2023,TY,Billy Wishes,9:07,9:16,9,22:03,40.5,10,0.7,LRHB,low-relief hard bottom,patchy hard bottom,"GT landed on the reef and did not open, 120' of visibility, mild W current, low amounts of baitfish, lionfish were located together, not on bait, surveyed into the current for the most part"
4.7.2023,TY,124 Reef,11:46,11:58,12,22:37,37.7,6,1.8,MRR,medium-relief reef,patchy hard bottom,"GT did not fully open, traps surrounded by coral bommies, survey to each of the traps, very little baitfish, lionfish were not near bait, they were all by themselves, "
4.10.2023,TY,Key Largo Site #1,10:42,10:47,5,18:40,46.3,9,0.6,LRHB,low-relief hard bottom,low-relief hard bottom,"GT did not open, NE curent, survey completed running E to W, all lionfish on one bommie with baitfish swimming all around it"
4.10.2023,LR,Key Largo Site #2,11:20,11:26,6,19:00,46.3,3,0.6,LRHB,low-relief hard bottom,low-relief hard bottom,"GT did not open, GT 25' from reef, MLT 50' from reef, lionfish were all hanging out together"
4.10.2023,TY,Key Largo Site #3,11:51,11:57,6,20:00,46.6,1,0.5,LRHB,low-relief hard bottom,low-relief hard bottom,"GT did not open, NE current, big shark, not much bait on the bottom, no strong relief, lots of low-profile coral heads, 130' visibility"
4.16.2023,TY,BL Sailboat ,8:47,8:50,3,16:00,39.6,10,0.9,AR,artificial reef,artificial reef wreck,"GT 20' from structure, MLT 35' from structure, GT did not open, opened during dive, no current, good bait on wreck, 85' visibility, sawfish and sharks up agaisnt wreck, so could not survey under side, probably 8-10 more lionfish under the wreck, artificial wreck is about 20' long"
4.16.2023,TY,134 FAD,9:50,9:55,5,22:00,39.1,2,0.9,AR,artificial reef,artificial reef rectangle,"GT 3' from structure, MLT 10' from structure, GT did not open, opened during dive, 57' visbility, goliath grouper on trap, 20' horizontal visibiliy"
4.16.2023,TY,Sahara ,11:07,11:14,7,21:00,33.5,1,0,LRHB,low-relief hard bottom,sandy hard bottom,"delerlict lobster trap found on dive, GT opened, slight E current, sand dive, sand tile fish everywhere, 25-30' on visbility, thermocline at 100'"
4.16.2023,TY,Ghost Lobster,12:30,12:37,7,19:00,43.9,0,0,LRHB,low-relief hard bottom,sandy hard bottom,"GT did not open, opened during dive, E current, found ghost traps loaded with fish, 60' visibility, sand dive, algae covering the bottom"
4.20.2023,TY,In Between Cannabis and GL ,10:01,10:06,5,15:00,37.1,0,0,LRHB,low-relief hard bottom,sandy hard bottom,"GT opened, extended the surface line to try to make trap open and it seemed to work, slight NE curnt, 82' of visibility"
