trap_type,dep_date,dep_time,ret_date,ret_time,tag_num,trap_num,cam_num,pot_light,sound_trap,site_name,site_ID,site_GPS,site_depth,site_description,dist_btwn_traps,surveyed,surv_time,site_rel,lf_num_surv,lf_permin_surv,surveyor,gt_open_dep,gt_open_soak,lf_catch_num,lf_size,lf_near_trap,lf_esc,bycatch_num,bycatch_desc,bycatch_size,comments_dep,comments_ret,cam_recorded,cam_final_day,comment_vid,recr_time_to_first_lf,max_lf_MLTt_vid,max_lf_vid,time_stamp_sound_trap,sound_trap_file_range,vid_summary,notable_spp_vid
GT,3.29.2023,2:10pm,4.1.2023,3:20pm,2,G2,GoPro 1,no,no,Grocery Ledge West,GLW,"N 24°48.9551', W 080°38.6210'",39.6,low-relief hard bottom,12.5,yes,5,0.6,1,0.2,LR,*Closed,*Closed,0,0,No Drop Camera,No Drop Camera,0,0,0,"survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done","retrieved traps using lift bags, used GoFish cameras to test to look at escapement, GoFish camera would not turn off, decided to not use GoFish cameras after today, will use GoPro mounted GoFish mount instead",Yes,3,,,,,N/A,N/A,,
MLT,3.29.2023,2:11pm,4.1.2023,1:51pm,11,L2,GoPro 2,no,no,Grocery Ledge West,GLW,"N 24°48.9619', W 080°38.6205'",39.6,low-relief hard bottom,12.5,yes,5,0.6,1,0.2,LR,N/A,N/A,0,0,No Drop Camera,No Drop Camera,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,3.29.2023,2:24pm,4.1.2023,9:53am,3,G3,GoPro 3,no,no,Grocery Ledge Patch,GLP,"N 24°49.0455', W 080°38.5158'",42.7,low-relief hard bottom,7.3,yes,5,1.2,17,3.4,LR,*Closed,*Closed,0,0,No Drop Camera,No Drop Camera,0,0,0,"survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done","retrieved traps using lift bags, used GoFish cameras to test to look at escapement, GoFish camera would not turn off, decided to not use GoFish cameras after today, will use GoPro mounted GoFish mount instead",No,"Never Recorded, did not record after surface video",,,,,N/A,N/A,,
MLT,3.29.2023,2:25pm ,4.1.2023,9:57am,12,L3,GoPro 5,no,no,Grocery Ledge Patch,GLP,"N 24°49.0450', W 080°38.5130'",42.7,low-relief hard bottom,7.3,yes,5,1.2,17,3.4,LR,N/A,N/A,0,0,No Drop Camera,No Drop Camera,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,3.29.2023,3:12pm,4.1.2023,9:15am,4,G4,GB 1 (JB),no,no,Higher,HI,"N 24°49.3453', W 080°38.2737'",42.7,patchy hard bottom,9.1,yes,5,0.7,12,2.4,LR,*Closed,*Closed,0,0,0,0,0,0,0,"survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done","retrieved traps using lift bags, used GoFish cameras to test to look at escapement, GoFish camera would not turn off, decided to not use GoFish cameras after today, will use GoPro mounted GoFish mount instead",Yes,3,,,,,N/A,N/A,,
MLT,3.29.2023,3:13pm,4.1.2023,9:19am,13,L4,GB DW,no,no,Higher,HI,"N 24°49.3420', W 080°38.2699'",42.7,patchy hard bottom,9.1,yes,5,0.7,12,2.4,LR,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,3.29.2023,4:36pm,4.1.2023,2:12pm,1,G1,GB 2 (HC),no,no,Billy Wishes,BW,"N 24°49.0390', W 080°38.6410'",38.4,patchy hard bottom,13.4,yes,7,0.9,3,0.43,LR,*Closed,*Closed,0,0,No Drop Camera,No Drop Camera,0,0,0,"survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done","retrieved traps using lift bags, used GoFish cameras to test to look at escapement, GoFish camera would not turn off, decided to not use GoFish cameras after today, will use GoPro mounted PVCinstead",Yes,3,,,,,N/A,N/A,,
MLT,3.29.2023,4:37pm,4.1.2023,2:02pm,10,L1,GoPro 4,no,yes,Billy Wishes,BW,"N 24°49.0434', W 080°38.6348'",38.4,patchy hard bottom,13.4,yes,7,0.9,3,0.43,LR,N/A,N/A,0,0,No Drop Camera,No Drop Camera,0,0,0,,,Yes,3,"No lionfish. Sharpnose puffers, french angelfish, grasby, spotted goatfish swimming around trap",N/A,0,0,N/A,N/A,"Camera lasted entire deployment, good view of about 3/4 of trap",
GT,4.1.2023,10:21am,4.4.2023,9:15am,3,G3,GoPro 3,no,no,Max Claws West,MCW,"N 24°49.2843', W 080°38.3442'",42.1,low-relief hard bottom,24.9,yes,11,0.7,5,0.45,LR,*Closed,*Open,0,0,0,0,0,0,0,"GT did not open, GT opened by surveyers",Used GoPro mounted to PVC as the drop camera for the rest of the retrieval dives,Yes,1,,,,,N/A,N/A,,
MLT,4.1.2023,10:20am,4.4.2023,9:21am,12,L3,GoPro 5,no,no,Max Claws West,MCW,"N 24°49.2885', W 080°38.3302'",42.1,low-relief hard bottom,24.9,yes,11,0.7,5,0.45,LR,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,4.1.2023,11:36am,4.4.2023,10:26am,4,G4,GB 1 (JB),no,no,Buccees,BC,"N 24°49.4161', W 080°38.2004'",39.6,patchy hard bottom,25.2,yes,9,0.3,4,0.44,LR,*Closed,*Open,0,0,Drop camera not facing trap,Drop camera not facing trap,0,0,0,"GT did not open, GT opened by surveyers","Moderate current during retrieval, Sierra on the boat to help retrieve",Yes,3,,,,,N/A,N/A,,
MLT,4.1.2023,11:35am,4.4.2023,10:31am,13,L4,GB DW,no,no,Buccees,BC,"N 24°49.4104', W 080°38.1868'",39.6,patchy hard bottom,25.2,yes,9,0.3,4,0.44,LR,N/A,N/A,0,0,0,0,0,0,0,,,Yes,"No view of trap, camera fell off mount ",,,,,N/A,N/A,,
GT,4.4.2023,9:51am,4.7.2023,10:20am,3,G3,GB 2 (HC),yes,no,Grocery Ledge West,GLW,"N 24°48.9610', W 080°38.5934'",42.7,low-relief hard bottom,9.7,no,,,,,,*Closed,*Closed,0,0,Drop camera not facing trap,Drop camera not facing trap,0,0,0,"No survey, did not have enough FY crew to do a survey dive","Line of trap was cut by knife when going to retrieve, FY divers went down and closed trap on retrieval, no lionfish around trap during retrieval by divers",Yes,3,,,,,N/A,N/A,,
MLT,4.4.2023,4:37pm,4.7.2023,2:02pm,12,L3,GoPro 1,yes,yes,Grocery Ledge West,GLW,"N 24°48.9658', W 080°38.5954'",42.7,low-relief hard bottom,9.7,no,,,,,,N/A,N/A,0,0,Drop camera not facing trap,Drop camera not facing trap,0,0,0,,,Yes,3,Lionfish at 7 hr and 9 hr into deployment,7 hr,0,1,[4pm (4/4) - 7pm (4/4)],671383588.2,"Camera lasted entire deployment, good view of about 3/4 of trap, missing sound trap files",
GT,4.7.2023,7:52am,4.10.2023,9:01am,4,G4,GoPro 5,no,no,Higher ,HI,"N 24°49.3408', W 080°38.2750'",42.9,patchy hard bottom,9.1,yes,8,0.9,21,2.63,TY,*Closed,*Open,0,0,No Drop Camera,No Drop Camera,0,0,0,"GT did not open, GT opened by surveyers, traps landed 20' offfshore of reef in sand surrounded by 0.5' of relief, all lionfish found on bait with good amount of relief, very mild W current, 120' visibility, very few other fish on the reef, 79 degree water temp","2-4' sea state, retrieved trap using lift bags at depth, drop camera got stuck going down the line, need to tighten zip ties for going down the line",Yes,3,,,,,N/A,N/A,,
MLT,4.7.2023,7:50am,4.10.2023,8:53am,13,L4,GB DW,no,no,Higher ,HI,"N 24°49.3430', W 080°38.2730'",42.9,patchy hard bottom,9.1,yes,8,0.9,21,2.63,TY,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,4.7.2023,9:04am,4.10.2023,1:23pm,1,G1,GB 1 (JB),yes,no,Billy Wishes ,BW,"N 24°49.0420', W 080°38.6419'",40.5,patchy hard bottom,14.9,yes,9,0.7,10,1.11,TY,*Closed,*Open,0,0,0,0,0,0,0,"GT landed on the reef and did not open, GT opened by surveyers, 120' of visibility, mild W current, low amounts of baitfish, lionfish were located together, not on bait, surveyed into the current for the most part",2-4' sea state,Yes,3,,,,,N/A,N/A,,
MLT,4.7.2023,9:05am,4.10.2023,1:28pm,10,L1,GoPro 4,yes,no,Billy Wishes,BW,"N 24°49.0476', W 080°38.6482'",40.5,patchy hard bottom,14.9,yes,9,0.7,10,1.11,TY,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,4.7.2023,11:43am,4.10.2023,10:00am,3,G3,GB 2 (HC),yes,no,124 Reef,124R,"N 24°55.9909', W 080°28.4219'",37.7,patchy hard bottom,17,yes,12,1.8,6,0.5,TY,*Closed,*Open,0,0,0,0,0,0,0,"GT did not fully open, GT opened by surveyers, traps surrounded by coral bommies, survey to each of the traps, very little baitfish, lionfish were not near bait, they were all by themselves, ",2-4' sea state,Yes,3,,,,,N/A,N/A,,
MLT,4.7.2023,11:44am,4.10.2023,10:06am,12,L3,GoPro 1,yes,yes,124 Reef,124R,"N 24°55.9847', W 080°28.4294'",37.7,patchy hard bottom,17,yes,12,1.8,6,0.5,TY,N/A,N/A,0,0,0,0,0,0,0,,,Yes,2,"No lionfish. Sharpnose puffers, spotted goatfish, trumpetfish in and around trap",N/A,0,0,N/A,N/A,"Camera lasted until evening of the 9th, good view of about 2/3 of trap",
GT,4.10.2023,10:39am,4.13.2023,9:47am,3,G3,GB 3 (HC) ,yes,no,Key Largo Site #1 ,KL1,"N 24°58.6696', W 080°24.2229'",46.3,low-relief hard bottom,20.4,yes,5,0.6,9,1.8,TY,*Closed,*Open,0,0,0,0,0,0,0,"GT did not open, GT opened by surveyers, NE curent, survey completed running E to W, all lionfish on one bommie with baitfish swimming all around it","3' sea state, retrieved trap using lift bags at depth",Yes,3,,,,,N/A,N/A,,
MLT,4.10.2023,11:04am,4.13.2023,9:50am,12,L3,GoPro 1,yes,no,Key Largo Site #1,KL1,"N 24°58.6625', W 080°24.2322'",46.3,low-relief hard bottom,20.4,yes,5,0.6,9,1.8,TY,N/A,N/A,0,0,Camera did not reach bottom,Camera did not reach bottom,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,4.10.2023,11:17am,4.13.2023,10:26am,4,G4,GoPro 2,no,no,Key Largo Site #2,KL2,"N 24°58.7981', W 080°24.0093'",46.3,low-relief hard bottom,20.4,yes,6,0.6,3,0.5,LR,*Closed,*Open,0,0,0,0,0,0,0,"GT did not open, GT opened by surveyers, GT 25' from reef, MLTT 50' from reef, lionfish were all hanging out together","3' sea state, retrieved trap using lift bags at depth",Yes,3,,,,,N/A,N/A,,
