"site_name","date","surveyor","start_time","end_time","min_survey","dive_time","depth_m","lf_count","relief_m","hab_type","hab_description","comments","site_id","lat_dd","long_dd"
"Billy Wishes","3.29.2023","LR","16:09","16:16",7,"21:00",38.4,3,0.9,"low-relief hard bottom","patchy hard bottom","survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done","BW",24.8173166666667,-80.6440166666667
"Grocery Ledge Patch","3.29.2023","LR","13:28","13:33",5,"",42.7,17,1.2,"low-relief hard bottom","low-relief hard bottom","survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done","GLP",24.817425,-80.64193
"Grocery Ledge West","3.29.2023","LR","13:23","13:28",5,"21:20",39.6,1,0.6,"low-relief hard bottom","low-relief hard bottom","survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done","GLW",24.8159183333333,-80.6436833333333
"Higher","3.29.2023","LR","14:41","14:46",5,"19:29",42.7,12,0.7,"low-relief hard bottom","patchy hard bottom","survey was done before deploying lionfish traps, beginning and end of surveyers dives were marked, traps were dropped between those markers where survey was done","HI",24.8224216666667,-80.637895
"Buccees","4.1.2023","LR","11:40","11:49",9,"21:00",39.6,4,0.3,"low-relief hard bottom","patchy hard bottom","GT did not open","BC",24.8236016666667,-80.6366733333333
"Max Claws West","4.1.2023","LR","10:24","10:35",11,"20:00",42.1,5,0.7,"low-relief hard bottom","low-relief hard bottom","GT did not open","MCW",24.821405,-80.63907
"Key Largo Site #1","4.10.2023","TY","10:42","10:47",5,"18:40",46.3,9,0.6,"artificial reef","low-relief hard bottom","GT did not open, NE curent, survey completed running E to W, all lionfish on one bommie with baitfish swimming all around it","KL1",24.9777083333333,-80.40387
"Key Largo Site #2","4.10.2023","LR","11:20","11:26",6,"19:00",46.3,3,0.6,"low-relief hard bottom","low-relief hard bottom","GT did not open, GT 25' from reef, MLT 50' from reef, lionfish were all hanging out together","KL2",24.9799683333333,-80.400155
"Key Largo Site #3","4.10.2023","TY","11:51","11:57",6,"20:00",46.6,1,0.5,"low-relief hard bottom","low-relief hard bottom","GT did not open, NE current, big shark, not much bait on the bottom, no strong relief, lots of low-profile coral heads, 130' visibility","KL3",24.98061,-80.3984983333333
"134 FAD","4.16.2023","TY","9:50","9:55",5,"22:00",39.1,2,0.9,"low-relief hard bottom","artificial reef rectangle","GT 3' from structure, MLT 10' from structure, GT did not open, opened during dive, 57' visbility, goliath grouper on trap, 20' horizontal visibiliy","134F",24.76663,-80.7088866666667
"BL Sailboat ","4.16.2023","TY","8:47","8:50",3,"16:00",39.6,10,0.9,"artificial reef","artificial reef wreck","GT 20' from structure, MLT 35' from structure, GT did not open, opened during dive, no current, good bait on wreck, 85' visibility, sawfish and sharks up agaisnt wreck, so could not survey under side, probably 8-10 more lionfish under the wreck, artificial wreck is about 20' long","BLS",24.7875533333333,-80.6857766666667
"Ghost Lobster","4.16.2023","TY","12:30","12:37",7,"19:00",43.9,0,0,"low-relief hard bottom","sandy hard bottom","GT did not open, opened during dive, E current, found ghost traps loaded with fish, 60' visibility, sand dive, algae covering the bottom","GL",24.7233,-80.7832083333333
"Sahara ","4.16.2023","TY","11:07","11:14",7,"21:00",33.5,1,0,"artificial reef","sandy hard bottom","delerlict lobster trap found on dive, GT opened, slight E current, sand dive, sand tile fish everywhere, 25-30' on visbility, thermocline at 100'","SA",24.7439516666667,-80.7639516666667
